target_name,target_x,target_y,target_z,controller,done,truncated,steps,final_distance,final_speed,mean_torque_norm,peak_torque_norm
T1_reference,1.25,0.45,0.6,PID,True,False,242,9.713202386744e-03,4.957528812789e-02,4.481251314321e+01,1.388739404820e+02
T1_reference,1.25,0.45,0.6,PID_gains_flous,True,False,266,7.364144400710e-04,7.706375725660e-02,4.636128379624e+01,1.420549660017e+02
T2_lateral_bas,1.55,-0.35,0.35,PID,True,False,165,9.886985118890e-03,5.335030424717e-02,2.995041182947e+01,1.144042697197e+02
T2_lateral_bas,1.55,-0.35,0.35,PID_gains_flous,True,False,264,1.559006408739e-04,7.895196305783e-02,4.853719754456e+01,1.277524097536e+02
T3_haut_diagonal,0.9,0.9,0.8,PID,True,False,243,9.659217717536e-03,5.205572812314e-02,4.672764257194e+01,1.423462374302e+02
T3_haut_diagonal,0.9,0.9,0.8,PID_gains_flous,True,False,255,9.160091498365e-04,7.861085621948e-02,4.985319905233e+01,1.424964104648e+02
T4_avant_droit,1.35,0.75,-0.2,PID,True,False,284,4.362266807482e-03,7.853992168726e-02,5.201435889134e+01,1.376368536337e+02
T4_avant_droit,1.35,0.75,-0.2,PID_gains_flous,True,False,322,9.829874529280e-03,4.428464739590e-02,5.864998215575e+01,1.379217004589e+02
T5_arriere_haut,0.75,-1.05,0.65,PID,True,False,240,9.917219353337e-03,4.868198640463e-02,4.569813025541e+01,1.423587824149e+02
T5_arriere_haut,0.75,-1.05,0.65,PID_gains_flous,True,False,260,5.684112696568e-04,7.797959565368e-02,4.734116895937e+01,1.424872437079e+02
