target_id,target_x,target_y,target_z,method,done,steps,final_distance,final_speed,mean_torque_norm,total_reward,residual_disabled,residual_switch_step
T1_train,0.95,0.55,0.5,fuzzy_base,True,372,0.00921790321280977,0.07903133884776689,15.465372237204196,-77.28825286947138,False,
T1_train,0.95,0.55,0.5,fuzzy_rl,True,376,0.007928207853965181,0.07870638711705755,15.502738513155784,-80.94102190561985,False,
T1_train,0.95,0.55,0.5,fuzzy_rl_safe,True,376,0.007928207853965181,0.07870638711705755,15.502738513155784,-80.94102190561985,True,329
T2_left,0.7,-0.75,0.35,fuzzy_base,True,389,0.009891650056162403,0.0726600969250796,15.249992001756933,-94.63242616830061,False,
T2_left,0.7,-0.75,0.35,fuzzy_rl,True,386,0.009802562567441966,0.07239756630579412,15.163283616553583,-95.2477070265951,False,
T2_left,0.7,-0.75,0.35,fuzzy_rl_safe,True,386,0.009802562567441966,0.07239756630579412,15.163283616553583,-95.2477070265951,False,
T3_high,0.55,0.65,0.9,fuzzy_base,True,389,0.009924877311687669,0.07180934004186808,15.325161344288004,-76.31286435777689,False,
T3_high,0.55,0.65,0.9,fuzzy_rl,True,388,0.009980260514203856,0.06673816396179978,15.188267976179208,-78.56424205038519,False,
T3_high,0.55,0.65,0.9,fuzzy_rl_safe,True,388,0.009980260514203856,0.06673816396179978,15.188267976179208,-78.56424205038519,False,
T4_low_far,1.25,0.35,0.2,fuzzy_base,True,363,0.007052139301962404,0.07978197868173637,15.272914067311252,-66.14436277875943,False,
T4_low_far,1.25,0.35,0.2,fuzzy_rl,True,365,0.007221874042482369,0.07966704754703252,15.363111910135787,-69.59030480564802,False,
T4_low_far,1.25,0.35,0.2,fuzzy_rl_safe,True,365,0.007221874042482369,0.07966704754703252,15.363111910135787,-69.59030480564802,True,324
T5_side,0.25,1.2,0.45,fuzzy_base,True,423,0.007445006764051005,0.07819952065583323,17.292316745706806,-114.71976322263008,False,
T5_side,0.25,1.2,0.45,fuzzy_rl,True,422,0.0075006915931589944,0.07630972164612679,17.2348156375876,-115.49867089022825,False,
T5_side,0.25,1.2,0.45,fuzzy_rl_safe,True,422,0.0075006915931589944,0.07630972164612679,17.2348156375876,-115.49867089022825,True,267
