scenario,controller,action,external_torque,residual_torque,done,truncated,steps,final_distance,final_speed,mean_torque_norm,score
single_q2,action_axis_alignee,q4_res-,"(0.0, 0.0, -3.0, 0.0, 0.0)","(-0.0, -0.0, -0.0, -0.0, -1.0)",False,True,550,6.455696524850e-01,1.098899495984e-06,3.269375469261e+01,-5.498434906882e+02
single_q2,compensation_multi_axes,multi_axis_reference,"(0.0, 0.0, -3.0, 0.0, 0.0)","(0.0, 0.0, 3.0, 0.0, 0.0)",True,False,270,5.034224172003e-04,7.928814005731e-02,4.646264081148e+01,-1.160345886686e+02
multi_q1_q2,action_axis_alignee,base,"(0.0, -4.0, -3.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 0.0)",False,True,550,1.108478703725e-01,4.702342700631e-04,3.749188829711e+01,-2.928650657328e+02
multi_q1_q2,action_axis_alignee,q0_res+,"(0.0, -4.0, -3.0, 0.0, 0.0)","(0.1, 0.0, 0.0, 0.0, 0.0)",False,True,550,1.108969966393e-01,4.701517427085e-04,3.749230675942e+01,-2.928951407764e+02
multi_q1_q2,action_axis_alignee,q1_res+,"(0.0, -4.0, -3.0, 0.0, 0.0)","(0.0, 4.0, 0.0, 0.0, 0.0)",False,True,550,8.366951370086e-02,5.007136836473e-05,3.720447345989e+01,-2.855301573334e+02
multi_q1_q2,action_axis_alignee,q2_res+,"(0.0, -4.0, -3.0, 0.0, 0.0)","(0.0, 0.0, 3.0, 0.0, 0.0)",False,True,550,1.415881401474e-02,6.064397496202e-06,3.564302177188e+01,-2.335404607570e+02
multi_q1_q2,action_axis_alignee,q3_res+,"(0.0, -4.0, -3.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 1.5, 0.0)",False,True,550,1.481877047588e+00,3.027924353296e+00,4.389536323271e+01,-8.645815295340e+02
multi_q1_q2,action_axis_alignee,q4_res+,"(0.0, -4.0, -3.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 1.0)",False,True,550,6.374476623731e-01,3.138275555311e-07,3.353477452347e+01,-5.406723144123e+02
multi_q1_q2,action_axis_alignee,q0_res-,"(0.0, -4.0, -3.0, 0.0, 0.0)","(-0.1, -0.0, -0.0, -0.0, -0.0)",False,True,550,1.108970076064e-01,4.703084831495e-04,3.749152222044e+01,-2.928892682897e+02
multi_q1_q2,action_axis_alignee,q1_res-,"(0.0, -4.0, -3.0, 0.0, 0.0)","(-0.0, -4.0, -0.0, -0.0, -0.0)",False,True,550,1.650753383196e-01,8.680030799852e-05,3.761674182760e+01,-3.152856758074e+02
multi_q1_q2,action_axis_alignee,q2_res-,"(0.0, -4.0, -3.0, 0.0, 0.0)","(-0.0, -0.0, -3.0, -0.0, -0.0)",False,True,550,1.809783357622e-01,5.173634581478e-03,3.949607645247e+01,-4.245402314664e+02
multi_q1_q2,action_axis_alignee,q3_res-,"(0.0, -4.0, -3.0, 0.0, 0.0)","(-0.0, -0.0, -0.0, -1.5, -0.0)",False,True,550,7.688391218944e-02,2.256140384904e-05,3.623226513165e+01,-2.573174605986e+02
multi_q1_q2,action_axis_alignee,q4_res-,"(0.0, -4.0, -3.0, 0.0, 0.0)","(-0.0, -0.0, -0.0, -0.0, -1.0)",False,True,550,6.183660781603e-01,5.861425661259e-07,3.664811958818e+01,-5.428425524082e+02
multi_q1_q2,compensation_multi_axes,multi_axis_reference,"(0.0, -4.0, -3.0, 0.0, 0.0)","(0.0, 4.0, 3.0, 0.0, 0.0)",True,False,266,3.418353150781e-04,7.938873384208e-02,4.929128267942e+01,-1.272290743349e+02
multi_q1_q3,action_axis_alignee,base,"(0.0, -4.0, 0.0, -1.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 0.0)",False,True,550,7.940636747336e-02,3.492095856129e-05,3.357977237757e+01,-2.031007331868e+02
multi_q1_q3,action_axis_alignee,q0_res+,"(0.0, -4.0, 0.0, -1.0, 0.0)","(0.1, 0.0, 0.0, 0.0, 0.0)",False,True,550,7.948546495547e-02,3.492155253556e-05,3.358021226040e+01,-2.031583410498e+02
multi_q1_q3,action_axis_alignee,q1_res+,"(0.0, -4.0, 0.0, -1.0, 0.0)","(0.0, 4.0, 0.0, 0.0, 0.0)",False,True,550,6.214013983558e-02,3.026370414490e-05,3.341330350072e+01,-1.957644925428e+02
multi_q1_q3,action_axis_alignee,q2_res+,"(0.0, -4.0, 0.0, -1.0, 0.0)","(0.0, 0.0, 3.0, 0.0, 0.0)",False,True,550,9.130277888389e-02,5.870131882823e-05,3.198234989623e+01,-2.143270660921e+02
multi_q1_q3,action_axis_alignee,q3_res+,"(0.0, -4.0, 0.0, -1.0, 0.0)","(0.0, 0.0, 0.0, 1.5, 0.0)",False,True,550,6.764399323358e-02,5.919871698656e-05,3.508110617151e+01,-2.182101104934e+02
multi_q1_q3,action_axis_alignee,q4_res+,"(0.0, -4.0, 0.0, -1.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 1.0)",False,True,550,6.837679741164e-01,2.839885642330e-06,3.080043640838e+01,-5.143520320846e+02
multi_q1_q3,action_axis_alignee,q0_res-,"(0.0, -4.0, 0.0, -1.0, 0.0)","(-0.1, -0.0, -0.0, -0.0, -0.0)",False,True,550,7.948546392849e-02,3.492046293701e-05,3.357941249586e+01,-2.031330075851e+02
multi_q1_q3,action_axis_alignee,q1_res-,"(0.0, -4.0, 0.0, -1.0, 0.0)","(-0.0, -4.0, -0.0, -0.0, -0.0)",False,True,550,2.196829885949e-01,7.939862216324e-05,3.356157365345e+01,-2.728805989460e+02
multi_q1_q3,action_axis_alignee,q2_res-,"(0.0, -4.0, 0.0, -1.0, 0.0)","(-0.0, -0.0, -3.0, -0.0, -0.0)",False,True,550,8.053743876114e-02,2.851746816828e-05,3.510792925753e+01,-2.141294969160e+02
multi_q1_q3,action_axis_alignee,q3_res-,"(0.0, -4.0, 0.0, -1.0, 0.0)","(-0.0, -0.0, -0.0, -1.5, -0.0)",False,True,550,1.190773552883e-01,2.914672432739e-05,3.225698787584e+01,-2.186040530388e+02
multi_q1_q3,action_axis_alignee,q4_res-,"(0.0, -4.0, 0.0, -1.0, 0.0)","(-0.0, -0.0, -0.0, -0.0, -1.0)",False,True,550,7.329171063684e-01,4.157265370855e-07,3.428394151156e+01,-5.857667103955e+02
multi_q1_q3,compensation_multi_axes,multi_axis_reference,"(0.0, -4.0, 0.0, -1.0, 0.0)","(0.0, 4.0, 0.0, 1.0, 0.0)",True,False,251,1.866263476059e-04,7.761257677006e-02,4.773058076310e+01,-8.094193629511e+01
