target_id,target_x,target_y,method,done,steps,final_distance,final_speed,mean_torque_norm,total_reward
T1_train,1.1,0.55,fuzzy_base,True,360,0.005226555932305786,0.07783967059054084,13.853262882058523,-63.74704504249893
T1_train,1.1,0.55,fuzzy_rl,True,269,0.005537226137887393,0.07570873247218747,14.420213932587039,-65.19093963107237
T2_diag,0.85,0.85,fuzzy_base,True,361,0.006030238089079754,0.0797330120725328,12.683325423976811,-61.82878651137769
T2_diag,0.85,0.85,fuzzy_rl,True,271,0.004960498114200039,0.07813172874160847,12.982476101258937,-64.581265859046
T3_low,1.25,0.25,fuzzy_base,True,358,0.004593187086744002,0.0769305986540024,14.835777435014462,-63.65613340168688
T3_low,1.25,0.25,fuzzy_rl,True,269,0.009731612861177576,0.06577670026711215,15.80059543893089,-66.27439621813572
T4_high,0.65,1.05,fuzzy_base,True,400,0.002533919812001729,0.07776201904275584,13.500462449035629,-83.54953754836446
T4_high,0.65,1.05,fuzzy_rl,False,550,0.030001893210111576,0.011905506554675198,12.9917414282573,-117.8931736865782
T5_far,1.35,0.45,fuzzy_base,True,349,0.002452581770787735,0.07927584257865121,14.805810181931781,-49.20407710511363
T5_far,1.35,0.45,fuzzy_rl,True,263,0.003264370473238759,0.07235151613503017,15.287969619705823,-51.651724790896914
