scenario,controller,action,external_torque,residual_torque,done,truncated,steps,final_distance,final_speed,mean_torque_norm,score
single_q1,action_axis_alignee,base,"(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 0.0)",False,True,350,1.431271561413e-02,4.392891289634e-03,4.151604119156e+01,-2.014139108705e+02
single_q1,action_axis_alignee,q0_res+,"(0.0, -4.0, 0.0, 0.0, 0.0)","(0.1, 0.0, 0.0, 0.0, 0.0)",False,True,350,1.476495697010e-02,4.393125033757e-03,4.151669836829e+01,-2.015362522972e+02
single_q1,action_axis_alignee,q1_res+,"(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 4.0, 0.0, 0.0, 0.0)",True,False,255,1.662644553347e-04,7.886694905109e-02,4.830775346347e+01,-1.012659888619e+02
single_q1,action_axis_alignee,q2_res+,"(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 3.0, 0.0, 0.0)",False,True,350,7.663960276240e-02,3.580621953094e-03,3.949580287885e+01,-2.150536801895e+02
single_q1,action_axis_alignee,q3_res+,"(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 1.0, 0.0)",False,True,350,7.761409229047e-02,9.705480073573e-03,4.350846557240e+01,-2.217712145467e+02
single_q1,action_axis_alignee,q4_res+,"(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 1.0)",False,True,350,6.960303649377e-01,7.144792924563e-05,3.751857654948e+01,-3.930909317233e+02
single_q1,action_axis_alignee,q0_res-,"(0.0, -4.0, 0.0, 0.0, 0.0)","(-0.1, -0.0, -0.0, -0.0, -0.0)",False,True,350,1.476764214578e-02,4.392667696029e-03,4.151548667232e+01,-2.015438597392e+02
single_q1,action_axis_alignee,q1_res-,"(0.0, -4.0, 0.0, 0.0, 0.0)","(-0.0, -4.0, -0.0, -0.0, -0.0)",False,True,350,4.195787484501e-02,2.313379480616e-03,4.158958111899e+01,-2.076074225956e+02
single_q1,action_axis_alignee,q2_res-,"(0.0, -4.0, 0.0, 0.0, 0.0)","(-0.0, -0.0, -3.0, -0.0, -0.0)",False,True,350,1.128223835972e-01,2.788922540092e-02,4.393103965649e+01,-2.431366910890e+02
single_q1,action_axis_alignee,q3_res-,"(0.0, -4.0, 0.0, 0.0, 0.0)","(-0.0, -0.0, -0.0, -1.0, -0.0)",False,True,350,7.957695945434e-02,1.196495373687e-03,4.014128491918e+01,-2.070480667573e+02
single_q1,action_axis_alignee,q4_res-,"(0.0, -4.0, 0.0, 0.0, 0.0)","(-0.0, -0.0, -0.0, -0.0, -1.0)",False,True,350,7.238262350006e-01,2.034544145294e-03,4.212524970827e+01,-4.413284710279e+02
single_q1,action_factorisee,base,"(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 0.0)",False,True,350,1.431271561413e-02,4.392891289634e-03,4.151604119156e+01,-2.014139108705e+02
single_q1,action_factorisee,q0_res+,"(0.0, -4.0, 0.0, 0.0, 0.0)","(0.1, 0.0, 0.0, 0.0, 0.0)",False,True,350,1.476495697010e-02,4.393125033757e-03,4.151669836829e+01,-2.015362522972e+02
single_q1,action_factorisee,q0_res-,"(0.0, -4.0, 0.0, 0.0, 0.0)","(-0.1, 0.0, 0.0, 0.0, 0.0)",False,True,350,1.476764214578e-02,4.392667696029e-03,4.151548667232e+01,-2.015438597392e+02
single_q1,action_factorisee,base,"(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 0.0)",False,True,350,1.431271561413e-02,4.392891289634e-03,4.151604119156e+01,-2.014139108705e+02
single_q1,action_factorisee,q1_res+,"(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 4.0, 0.0, 0.0, 0.0)",True,False,255,1.662644553347e-04,7.886694905109e-02,4.830775346347e+01,-1.012659888619e+02
single_q1,action_factorisee,q1_res-,"(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, -4.0, 0.0, 0.0, 0.0)",False,True,350,4.195787484501e-02,2.313379480616e-03,4.158958111899e+01,-2.076074225956e+02
single_q1,action_factorisee,q1_res+,"(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 4.0, 0.0, 0.0, 0.0)",True,False,255,1.662644553347e-04,7.886694905109e-02,4.830775346347e+01,-1.012659888619e+02
single_q1,action_factorisee,"q1_res+,q2_res+","(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 4.0, 3.0, 0.0, 0.0)",False,True,350,8.788559175768e-02,7.853342378509e-03,3.942340215157e+01,-2.184941149539e+02
single_q1,action_factorisee,"q1_res+,q2_res-","(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 4.0, -3.0, 0.0, 0.0)",False,True,350,8.417766992228e-02,1.316679623025e-02,4.363700440888e+01,-2.412544272018e+02
single_q1,action_factorisee,q1_res+,"(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 4.0, 0.0, 0.0, 0.0)",True,False,255,1.662644553347e-04,7.886694905109e-02,4.830775346347e+01,-1.012659888619e+02
single_q1,action_factorisee,"q1_res+,q3_res+","(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 4.0, 0.0, 1.0, 0.0)",False,True,350,7.759728605203e-02,9.815863844352e-03,4.325029473341e+01,-2.265006197214e+02
single_q1,action_factorisee,"q1_res+,q3_res-","(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 4.0, 0.0, -1.0, 0.0)",False,True,350,6.209524336541e-02,4.800293992451e-03,4.006175056063e+01,-2.022764929944e+02
single_q1,action_factorisee,q1_res+,"(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 4.0, 0.0, 0.0, 0.0)",True,False,255,1.662644553347e-04,7.886694905109e-02,4.830775346347e+01,-1.012659888619e+02
single_q1,action_factorisee,"q1_res+,q4_res+","(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 4.0, 0.0, 0.0, 1.0)",False,True,350,7.273427156907e-01,1.437696373205e-04,3.725408831675e+01,-4.032786985982e+02
single_q1,action_factorisee,"q1_res+,q4_res-","(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 4.0, 0.0, 0.0, -1.0)",False,True,350,7.580231996637e-01,1.317436075381e-03,4.173523606651e+01,-4.531539824324e+02
single_q1,action_factorisee,q1_res+,"(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 4.0, 0.0, 0.0, 0.0)",True,False,255,1.662644553347e-04,7.886694905109e-02,4.830775346347e+01,-1.012659888619e+02
single_q1,action_factorisee,"q0_res+,q1_res+","(0.0, -4.0, 0.0, 0.0, 0.0)","(0.1, 4.0, 0.0, 0.0, 0.0)",True,False,255,3.938737078954e-03,7.885998341208e-02,4.830852041913e+01,-1.016571187829e+02
single_q1,action_factorisee,"q0_res-,q1_res+","(0.0, -4.0, 0.0, 0.0, 0.0)","(-0.1, 4.0, 0.0, 0.0, 0.0)",True,False,255,3.643955035726e-03,7.887376667399e-02,4.830712133800e+01,-1.016353937479e+02
single_q1,action_factorisee,base,"(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 0.0)",False,True,350,1.431271561413e-02,4.392891289634e-03,4.151604119156e+01,-2.014139108705e+02
single_q1,action_factorisee,q1_res+,"(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 4.0, 0.0, 0.0, 0.0)",True,False,255,1.662644553347e-04,7.886694905109e-02,4.830775346347e+01,-1.012659888619e+02
single_q1,action_factorisee,q1_res-,"(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, -4.0, 0.0, 0.0, 0.0)",False,True,350,4.195787484501e-02,2.313379480616e-03,4.158958111899e+01,-2.076074225956e+02
single_q1,action_factorisee,q1_res+,"(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 4.0, 0.0, 0.0, 0.0)",True,False,255,1.662644553347e-04,7.886694905109e-02,4.830775346347e+01,-1.012659888619e+02
single_q1,action_factorisee,"q1_res+,q2_res+","(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 4.0, 3.0, 0.0, 0.0)",False,True,350,8.788559175768e-02,7.853342378509e-03,3.942340215157e+01,-2.184941149539e+02
single_q1,action_factorisee,"q1_res+,q2_res-","(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 4.0, -3.0, 0.0, 0.0)",False,True,350,8.417766992228e-02,1.316679623025e-02,4.363700440888e+01,-2.412544272018e+02
single_q1,action_factorisee,q1_res+,"(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 4.0, 0.0, 0.0, 0.0)",True,False,255,1.662644553347e-04,7.886694905109e-02,4.830775346347e+01,-1.012659888619e+02
single_q1,action_factorisee,"q1_res+,q3_res+","(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 4.0, 0.0, 1.0, 0.0)",False,True,350,7.759728605203e-02,9.815863844352e-03,4.325029473341e+01,-2.265006197214e+02
