fold_name,terminal_fold_rad,terminal_fold_deg,desired_q0,desired_q1,desired_q2,desired_q3,desired_q4,done,truncated,steps,final_distance,final_speed,mean_torque_norm,peak_torque_norm,posture_norm
fold_m90,-1.570796326795e+00,-90.000000,3.455555805817e-01,-1.361661088489e-01,2.110488523742e+00,-1.407593197370e+00,-1.570796326795e+00,True,False,278,1.108233114991e-03,7.989866531530e-02,4.795690382619e+01,1.411910833471e+02,3.006797530076e+00
fold_m60,-1.047197551197e+00,-60.000000,3.455555805817e-01,-5.761136291453e-02,2.234334914979e+00,-1.780727730061e+00,-1.047197551197e+00,True,False,274,8.298589761458e-04,7.768410962978e-02,4.766776698103e+01,1.420004304231e+02,3.063102055195e+00
fold_m30,-5.235987755983e-01,-30.000000,3.455555805817e-01,1.183086303387e-02,2.303782748072e+00,-2.113288265832e+00,-5.235987755983e-01,True,False,267,6.879533750815e-04,7.906490858212e-02,4.720862731243e+01,1.420945108804e+02,3.188590056940e+00
fold_0,0.000000000000e+00,0.000000,3.455555805817e-01,3.937587443596e-02,2.325708430656e+00,-2.365084305092e+00,0.000000000000e+00,True,False,266,7.364144400710e-04,7.706375725660e-02,4.636128379624e+01,1.420549660017e+02,3.335191537734e+00
fold_p30,5.235987755983e-01,30.000000,3.455555805817e-01,1.183086303387e-02,2.303782748072e+00,-2.517938956380e+00,5.235987755983e-01,True,False,264,4.886469674336e-04,7.804757429887e-02,4.634038533218e+01,1.419824674828e+02,3.470033983230e+00
fold_p60,1.047197551197e+00,60.000000,3.455555805817e-01,-5.761136291453e-02,2.234334914979e+00,-2.572719374068e+00,1.047197551197e+00,True,False,259,1.671732488392e-03,7.700908218949e-02,4.732003780483e+01,1.418738855581e+02,3.581967047536e+00
fold_p90,1.570796326795e+00,90.000000,3.455555805817e-01,-1.361661088489e-01,2.110488523742e+00,-2.541051632417e+00,1.570796326795e+00,True,False,252,4.786170263977e-03,7.818126910108e-02,4.941659778881e+01,1.418767953372e+02,3.676473334080e+00
