time,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,q_obs1,q_obs2,q_obs3,q_obs4,q_obs5,q_obs6,qdot_obs1,qdot_obs2,qdot_obs3,qdot_obs4,qdot_obs5,qdot_obs6,q_ref1,q_ref2,q_ref3,q_ref4,q_ref5,q_ref6,qdot_ref1,qdot_ref2,qdot_ref3,qdot_ref4,qdot_ref5,qdot_ref6,error1,error2,error3,error4,error5,error6,correction1,correction2,correction3,correction4,correction5,correction6,target1,target2,target3,target4,target5,target6,controller,error_norm,correction_norm
0.0,-4.848255130696089e-10,-0.02057758869843518,-0.062428519227567314,-0.005167710451034591,8.089169334368762e-10,-0.001289621694315457,-9.013234603116863e-10,-0.028493797858430956,-0.08548811036686026,-0.006916753032903949,1.5219825399981332e-09,-0.0015332923414490538,-4.848255130696089e-10,-0.02057758869843518,-0.062428519227567314,-0.005167710451034591,8.089169334368762e-10,-0.001289621694315457,-9.013234603116863e-10,-0.028493797858430956,-0.08548811036686026,-0.006916753032903949,1.5219825399981332e-09,-0.0015332923414490538,-4.848255130696089e-10,-0.02057758869843518,-0.062428519227567314,-0.005167710451034591,8.089169334368762e-10,-0.001289621694315457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.848255130696089e-10,-0.02057758869843518,-0.062428519227567314,-0.005167710451034591,8.089169334368762e-10,-0.001289621694315457,reference,0.0,0.0
0.05,-5.077889220217457e-10,-0.02263806351991038,-0.06870460834385428,-0.005675469114624132,8.64277094336785e-10,-0.0014018332618825902,-8.902212300654347e-10,-0.028444096726420984,-0.08545185541235505,-0.006888192104526064,1.5617729332006988e-09,-0.0014968126885506181,-5.077889220217457e-10,-0.02263806351991038,-0.06870460834385428,-0.005675469114624132,8.64277094336785e-10,-0.0014018332618825902,-8.902212300654347e-10,-0.028444096726420984,-0.08545185541235505,-0.006888192104526064,1.5617729332006988e-09,-0.0014968126885506181,6.40234936725628e-06,-0.020573366450359763,-0.06242795187699101,-0.005171104958716416,-5.384425457250366e-06,-0.0012945013763498415,0.0005022482539558917,0.00032993634526595056,4.3731683733506545e-05,-0.00026803856044428116,-0.0004231655614772359,-0.00038224470502049165,6.4028571561783014e-06,0.002064697069550616,0.006276656466863269,0.0005043641559077158,-5.385289734344703e-06,0.0001073318855327487,0.0,0.0,0.0,0.0,0.0,0.0,4.801640819063942e-06,-0.020574422012378617,-0.062428093714635084,-0.00517025633179596,-4.038116863704416e-06,-0.0012932814558412453,reference,0.006627621272022806,0.0
0.1,3.127244662781692e-06,-0.023387302503125262,-0.07098606154824472,-0.005859776089830238,-2.6298290993764795e-06,-0.0014421289768562495,3.720947088226009e-05,-0.007582137069661592,-0.023521889179711743,-0.00187654290142447,-3.129651853228663e-05,-0.00037855028827138394,3.127244662781692e-06,-0.023387302503125262,-0.07098606154824472,-0.005859776089830238,-2.6298290993764795e-06,-0.0014421289768562495,3.720947088226009e-05,-0.007582137069661592,-0.023521889179711743,-0.00187654290142447,-3.129651853228663e-05,-0.00037855028827138394,9.461961517062899e-05,-0.020516132402974688,-0.06242070549036658,-0.005219177632719649,-8.011398239952681e-05,-0.0013613427844538994,0.0036314652192008033,0.002339749340953389,0.0002884778185142172,-0.002001299454725083,-0.003085137425702594,-0.0027447702625916417,9.14923705078473e-05,0.0028711701001505746,0.008565356057878136,0.000640598457110589,-7.748415330015033e-05,8.078619240235014e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.216512158273773e-05,-0.02053070480532567,-0.06242255254643371,-0.005206947307488726,-6.109501601557122e-05,-0.001344327452300736,reference,0.009057605068793708,0.0
0.15000000000000002,4.8093116598479924e-05,-0.023550790795948906,-0.07158916476152477,-0.005930795194757366,-4.070949445056371e-05,-0.001483136295244325,0.0005349338231930285,-0.00154407115475763,-0.0060829502324111166,-0.0007349625231967132,-0.0004530122154733359,-0.0004426698581028173,4.8093116598479924e-05,-0.023550790795948906,-0.07158916476152477,-0.005930795194757366,-4.070949445056371e-05,-0.001483136295244325,0.0005349338231930285,-0.00154407115475763,-0.0060829502324111166,-0.0007349625231967132,-0.0004530122154733359,-0.0004426698581028173,0.00044100877240339125,-0.020295584899909656,-0.06239475958206102,-0.005413641710498795,-0.00037575571125842376,-0.0016220643590129365,0.011016395414587665,0.0069552023342243745,0.0007901288185858468,-0.006264124655216396,-0.009432182278456935,-0.008267446598461875,0.0003929156558049113,0.0032552058960392503,0.009194405179463752,0.000517153484258571,-0.00033504621680786005,-0.00013892806376861145,0.0,0.0,0.0,0.0,0.0,0.0,0.00034879785969822784,-0.02035436487626366,-0.062401707823154184,-0.005361968109746277,-0.0002970905374477106,-0.0015526301323348863,reference,0.009781965009287024,0.0
0.2,0.00024394860824816789,-0.023474650964729893,-0.07173626379941389,-0.006050642873540735,-0.00020769601085701694,-0.0016293221054048956,0.0023299837493162535,0.0011181942698890157,-0.0011965375701805659,-0.0013634569218545765,-0.00198654519270036,-0.0017292653827993816,0.00024394860824816789,-0.023474650964729893,-0.07173626379941389,-0.006050642873540735,-0.00020769601085701694,-0.0016293221054048956,0.0023299837493162535,0.0011181942698890157,-0.0011965375701805659,-0.0013634569218545765,-0.00198654519270036,-0.0017292653827993816,0.0012788486304946079,-0.019772847797639555,-0.06233833572403358,-0.005898343363520801,-0.001096080199915718,-0.002248258590956201,0.02332980529608713,0.01441870691450452,0.001490879781943141,-0.013677618352032257,-0.02012092356147311,-0.01737987518241197,0.00103490002224644,0.003701803167090338,0.009397928075380313,0.0001522995100199341,-0.0008883841890587011,-0.0006189364855513054,0.0,0.0,0.0,0.0,0.0,0.0,0.001046335937795513,-0.019918227067295582,-0.06235417874881373,-0.0057642495500771695,-0.0008963327842987163,-0.0020743514763008723,reference,0.010212292633645769,0.0
0.25,0.000766560789342563,-0.023158660444930756,-0.07174340027878401,-0.006351530643768033,-0.000656219994513485,-0.0020171025241624285,0.00621722625968601,0.004068765543951965,0.000696601300198551,-0.0035061643327338713,-0.005335839243958414,-0.004649944905299459,0.000766560789342563,-0.023158660444930756,-0.07174340027878401,-0.006351530643768033,-0.000656219994513485,-0.0020171025241624285,0.00621722625968601,0.004068765543951965,0.000696601300198551,-0.0035061643327338713,-0.005335839243958414,-0.004649944905299459,0.002854268076424072,-0.01881090707952922,-0.06224446768521386,-0.006837263927541687,-0.002459913436356928,-0.0034170477785289395,0.04043814066252336,0.024437550048206153,0.0022628006276404367,-0.0244290926253162,-0.03511403005402282,-0.029895980969256136,0.002087707287081509,0.004347753365401535,0.009498932593570146,-0.0004857332837736542,-0.0018036934418434428,-0.001399945254366511,0.0,0.0,0.0,0.0,0.0,0.0,0.0024022850417669325,-0.019087737076470813,-0.062271895451113835,-0.0065690103331755584,-0.002069018273342375,-0.003081373702971923,reference,0.010905975198505669,0.0
0.30000000000000004,0.0018319432861213514,-0.02250418422963385,-0.07168604017671631,-0.006978224671429167,-0.0015764059757064075,-0.002805404496295072,0.01267426255928682,0.008307973949506213,0.0020051822375854993,-0.007341064037280624,-0.010946938697475862,-0.009450990290638108,0.0018319432861213514,-0.02250418422963385,-0.07168604017671631,-0.006978224671429167,-0.0015764059757064075,-0.002805404496295072,0.01267426255928682,0.008307973949506213,0.0020051822375854993,-0.007341064037280624,-0.010946938697475862,-0.009450990290638108,0.005389733111413364,-0.017297798970975803,-0.06211354625709102,-0.00839342254572081,-0.0046691032304806675,-0.005283635451068347,0.06155405371519285,0.03632538726253697,0.002945260012389409,-0.038298555080057,-0.05378877430825626,-0.04514709474131659,0.0035577898252920123,0.005206385258658047,0.009572493919625294,-0.0014151978742916425,-0.00309269725477426,-0.002478230954773275,0.0,0.0,0.0,0.0,0.0,0.0,0.004642871094001756,-0.017745283497349554,-0.06215313355559672,-0.007937319492584497,-0.004019081991196095,-0.00473307001404424,reference,0.012210902740668713,0.0
0.35000000000000003,0.003662761211582488,-0.021397392068979837,-0.07158191852577245,-0.008085517339816661,-0.0031673735247674806,-0.004153365417732147,0.021780221683886915,0.013964683006495436,0.0032632111392594224,-0.013006472198462392,-0.018926852098388718,-0.016161360933608634,0.003662761211582488,-0.021397392068979837,-0.07158191852577245,-0.008085517339816661,-0.0031673735247674806,-0.004153365417732147,0.021780221683886915,0.013964683006495436,0.0032632111392594224,-0.013006472198462392,-0.018926852098388718,-0.016161360933608634,0.009055213460931326,-0.015162918667136947,-0.06195414869982541,-0.01070951807353325,-0.007882196634769918,-0.007960455247974837,0.08539091042146851,0.04913571616745701,0.003376101128622913,-0.054701693208050545,-0.07505659635254723,-0.06211261923470348,0.005392452249348837,0.00623447340184289,0.009627769825947034,-0.002624000733716589,-0.004714823110002438,-0.00380708983024269,0.0,0.0,0.0,0.0,0.0,0.0,0.007952127869198933,-0.0158085098746901,-0.062003894913768245,-0.010016468428296062,-0.006916417973876462,-0.007153608939492188,reference,0.014291606678953404,0.0
0.4,0.006456518253382892,-0.019744157625349423,-0.07143936293060182,-0.009823236469981733,-0.005609206991817217,-0.0061976335986595465,0.033235772156814364,0.020768120814285123,0.004494618843065008,-0.02044510192060754,-0.02904912797214718,-0.024499842741043644,0.006456518253382892,-0.019744157625349423,-0.07143936293060182,-0.009823236469981733,-0.005609206991817217,-0.0061976335986595465,0.033235772156814364,0.020768120814285123,0.004494618843065008,-0.02044510192060754,-0.02904912797214718,-0.024499842741043644,0.013947105482363033,-0.012386881390820196,-0.061782467381740674,-0.013891119566993172,-0.012194330330800664,-0.011502774134993775,0.11031838634337615,0.06178611282151579,0.003416485766161958,-0.07274872011763688,-0.09749172881846309,-0.0795473899453347,0.00749058722898014,0.007357276234529227,0.00965689554886115,-0.004067883097011438,-0.006585123338983447,-0.005305140536334229,0.0,0.0,0.0,0.0,0.0,0.0,0.012448361079072007,-0.013242288511787673,-0.06183782426474757,-0.012922456782318896,-0.010874852241569612,-0.01041548283611838,reference,0.01707483764662422,0.0
0.45,0.010359134748600507,-0.017488755083725493,-0.0712700624076743,-0.012319147201134584,-0.009038835240078757,-0.009033155919987657,0.04642725556340817,0.02822913767150934,0.00557825227858188,-0.029398744207753652,-0.040800370212146185,-0.03396544809231014,0.010359134748600507,-0.017488755083725493,-0.0712700624076743,-0.012319147201134584,-0.009038835240078757,-0.009033155919987657,0.04642725556340817,0.02822913767150934,0.00557825227858188,-0.029398744207753652,-0.040800370212146185,-0.03396544809231014,0.02007494349296709,-0.009005426540332562,-0.061620655905947966,-0.017993180720122993,-0.017623737082527156,-0.015900562887215468,0.1345182591205955,0.07317208773020073,0.002969341440329698,-0.0913183593221812,-0.11946687519099142,-0.09610486212135437,0.009715808744366582,0.008483328543392931,0.00964940650172634,-0.00567403351898841,-0.008584901842448398,-0.006867406967227811,0.0,0.0,0.0,0.0,0.0,0.0,0.01816829788949332,-0.01006464203319634,-0.06167494799564787,-0.01672549973567197,-0.01593651587228777,-0.014529292874441196,reference,0.020310867116901263,0.0
