time,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,q_obs1,q_obs2,q_obs3,q_obs4,q_obs5,q_obs6,qdot_obs1,qdot_obs2,qdot_obs3,qdot_obs4,qdot_obs5,qdot_obs6,q_ref1,q_ref2,q_ref3,q_ref4,q_ref5,q_ref6,qdot_ref1,qdot_ref2,qdot_ref3,qdot_ref4,qdot_ref5,qdot_ref6,error1,error2,error3,error4,error5,error6,correction1,correction2,correction3,correction4,correction5,correction6,target1,target2,target3,target4,target5,target6,controller,error_norm,correction_norm,x,x_ref,x_error,y,y_ref,y_error,z,z_ref,z_error,cartesian_error_norm
0.0,-4.848255130696089e-10,-0.02057758869843518,-0.062428519227567314,-0.005167710451034591,8.089169334368762e-10,-0.001289621694315457,-9.013234603116863e-10,-0.028493797858430956,-0.08548811036686026,-0.006916753032903949,1.5219825399981332e-09,-0.0015332923414490538,-4.848255130696089e-10,-0.02057758869843518,-0.062428519227567314,-0.005167710451034591,8.089169334368762e-10,-0.001289621694315457,-9.013234603116863e-10,-0.028493797858430956,-0.08548811036686026,-0.006916753032903949,1.5219825399981332e-09,-0.0015332923414490538,-4.848255130696089e-10,-0.02830470527629793,-0.08025463830824135,0.04458827519915787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00772711657786275,-0.01782611908067404,0.04975598565019246,-8.089169334368762e-10,0.001289621694315457,0.0,0.0,0.0,0.0,0.0,0.0,-4.848255130696089e-10,-0.02830470527629793,-0.08025463830824135,0.04458827519915787,0.0,0.0,reference,0.053430329254299566,0.0,2.942537755198097,2.942537755198097,0.0,-1.4266173768906125e-09,-1.4266173768906125e-09,0.0,-0.18849447930836608,-0.18849447930836608,0.0,0.0
0.05,-5.953522119739318e-10,-0.027560446879550504,-0.07999397283589449,0.01163480396831007,4.166573752684144e-10,-0.0005566106130814319,-5.312283946068414e-09,-0.10356738321775073,-0.26521182049137315,0.33015034221302003,4.4000358911944163e-10,0.007741956440465707,-5.953522119739318e-10,-0.027560446879550504,-0.07999397283589449,0.01163480396831007,4.166573752684144e-10,-0.0005566106130814319,-5.312283946068414e-09,-0.10356738321775073,-0.26521182049137315,0.33015034221302003,4.4000358911944163e-10,0.007741956440465707,0.0001381633268265646,-0.011309296274289622,-0.11793437439869832,0.06552660733372165,0.0,0.0,0.008086010297068326,1.0300203909999202,-1.8485844384140486,0.4019543828885831,0.20971533020273878,0.08738138758447454,0.00013816392217877658,0.016251150605260882,-0.03794040156280383,0.05389180336541158,-4.166573752684144e-10,0.0005566106130814319,0.0,0.0,0.0,0.0,0.0,0.0,0.00010362237391354519,-0.015558148524791699,-0.10851444037608408,0.0602920243000807,0.0,0.0,reference,0.06788394023155883,0.0,2.9396978726068395,2.9409301152723084,0.0012322426654689522,-1.7501556309915435e-09,0.00040632869127593793,0.0004063304414315689,-0.22371169454869247,-0.18764143388597504,0.03607026066271743,0.03609358988367071
0.1,6.749128540128879e-05,-0.021914244738525213,-0.1039301930114771,0.02828442172426282,1.1038103764349216e-10,-0.0003034771549752513,0.0008029114273000452,0.06509104210534739,-0.34210705893604726,0.3316122286997289,-3.4018121652934468e-09,0.0028425072888360577,6.749128540128879e-05,-0.021914244738525213,-0.1039301930114771,0.02828442172426282,1.1038103764349216e-10,-0.0003034771549752513,0.0008029114273000452,0.06509104210534739,-0.34210705893604726,0.3316122286997289,-3.4018121652934468e-09,0.0028425072888360577,0.0010271122545698252,0.048050199882420465,-0.24797779733022457,0.13783559152513533,0.0,0.0,0.02932044824216428,1.7753195472091314,-3.1460973651148296,0.695290195355377,0.36276010192454416,0.15115004246855998,0.0009596209691685364,0.06996444462094567,-0.14404760431874747,0.10955116980087251,-1.1038103764349216e-10,0.0003034771549752513,0.0,0.0,0.0,0.0,0.0,0.0,0.0007962397844057552,0.032148112780617424,-0.21311195809168942,0.11844969971887166,0.0,0.0,reference,0.19402888340815516,0.0,2.93795762542836,2.9306928801722054,-0.0072647452561547254,0.0001982865368957481,0.0030101516301349195,0.0028118650932391714,-0.23441415531921328,-0.1822069170954889,0.05220723822372439,0.052785214140781016
0.15000000000000002,0.0005421409564805302,-0.00773941026027547,-0.13100775596609582,0.04496538816121465,-6.298206400856543e-11,-0.00020175225601848368,0.005646643171175464,0.28941339323242915,-0.5357964752395357,0.3340481716065821,6.35047570085589e-11,0.0012760136439027281,0.0005421409564805302,-0.00773941026027547,-0.13100775596609582,0.04496538816121465,-6.298206400856543e-11,-0.00020175225601848368,0.005646643171175464,0.28941339323242915,-0.5357964752395357,0.3340481716065821,6.35047570085589e-11,0.0012760136439027281,0.0032273447489560804,0.12868749542421398,-0.42104194029728687,0.2342595259431811,0.0,0.0,0.06002121989177714,2.1292279605162374,-3.7121878008004034,0.8412289263859747,0.4389020485492046,0.1828758535621686,0.00268520379247555,0.13642690568448945,-0.29003418433119105,0.18929413778196647,6.298206400856543e-11,0.00020175225601848368,0.0,0.0,0.0,0.0,0.0,0.0,0.0026195685078184987,0.10455264976331484,-0.3690594447458875,0.20530706938710375,0.0,0.0,reference,0.3722521326967811,0.0,2.9372234934475987,2.905830330337854,-0.031393163109744826,0.0015923893101447676,0.009378148818159885,0.0077857595080151176,-0.2261225176747136,-0.16900503118946858,0.057117486485245034,0.06563959173809539
0.2,0.0018952143590942327,0.006767525517662687,-0.15777221522773832,0.061672316987551046,-1.156434947802154e-10,-0.0001576867289201367,0.016096760792017037,0.29051928975638547,-0.5350707095346681,0.334134059081492,3.4913405499992194e-09,0.0004131942947793728,0.0018952143590942327,0.006767525517662687,-0.15777221522773832,0.061672316987551046,-1.156434947802154e-10,-0.0001576867289201367,0.016096760792017037,0.29051928975638547,-0.5350707095346681,0.334134059081492,3.4913405499992194e-09,0.0004131942947793728,0.0071436381550129355,0.2210952015139609,-0.6147517749993557,0.3426320010346502,0.0,0.0,0.09761446484239127,2.3377317887672997,-4.003595790046705,0.9377993671513514,0.48928662633983533,0.20386942764159804,0.005248423795918703,0.2143276759962982,-0.4569795597716174,0.28095968404709915,1.156434947802154e-10,0.0001576867289201367,0.0,0.0,0.0,0.0,0.0,0.0,0.006012620743214327,0.19195956357629937,-0.5533286924359886,0.3083007681227636,0.0,0.0,reference,0.5776959283432135,0.0,2.9362790528671514,2.8628982705413497,-0.0733807823258017,0.005564884886023712,0.020451857217311065,0.014886972331287354,-0.21621260703689327,-0.14620879483744906,0.07000381219944421,0.10250314571950589
0.25,0.00457696996782353,0.02133022936392237,-0.1845101842376966,0.07838424603768601,-2.7039703809350613e-11,-0.00013631894475141237,0.03190335341543002,0.2915846714279799,-0.5344909721485709,0.33419538391168374,8.624478908814118e-09,1.4077978782722754e-06,0.00457696996782353,0.02133022936392237,-0.1845101842376966,0.07838424603768601,-2.7039703809350613e-11,-0.00013631894475141237,0.03190335341543002,0.2915846714279799,-0.5344909721485709,0.33419538391168374,8.624478908814118e-09,1.4077978782722754e-06,0.01307446109464283,0.32082360294948625,-0.8187591407814013,0.45755269056241465,0.0,0.0,0.14036319950560425,2.4597247401721876,-4.134636872990263,1.0090979798286916,0.5264859025193174,0.2193691260497156,0.008497491126819301,0.2994933735855639,-0.6342489565437047,0.37916844452472864,2.7039703809350613e-11,0.00013631894475141237,0.0,0.0,0.0,0.0,0.0,0.0,0.011309001006785705,0.28860759310618955,-0.7524015286950482,0.4202397099525019,0.0,0.0,reference,0.7973762944557906,0.0,2.934979470039472,2.8006554167314945,-0.13432405330797748,0.013433406694610302,0.036619146887036845,0.023185740192426543,-0.2060689789234295,-0.1131696319809286,0.09289934694250092,0.16495702018313205
0.30000000000000004,0.008961687010693442,0.035950767758387236,-0.211216483496119,0.09510168514271067,1.6173951067344206e-10,-0.00012337328287514993,0.052162537220379286,0.29266637381581945,-0.5338314344889734,0.33425023164914663,1.991047327010163e-08,-0.00026037933009703785,0.008961687010693442,0.035950767758387236,-0.211216483496119,0.09510168514271067,1.6173951067344206e-10,-0.00012337328287514993,0.052162537220379286,0.29266637381581945,-0.5338314344889734,0.33425023164914663,1.991047327010163e-08,-0.00026037933009703785,0.021244523860771886,0.4248007984556867,-1.0262857939573913,0.5756715271712058,0.0,0.0,0.18698769336225318,2.516199342152634,-4.149255723573205,1.0633490188927617,0.5547907924657884,0.2311628301940786,0.012282836850078444,0.38885003069729945,-0.8150693104612723,0.4805698420284952,-1.6173951067344206e-10,0.00012337328287514993,0.0,0.0,0.0,0.0,0.0,0.0,0.01876064314727534,0.3907524971183124,-0.9578147276418055,0.5368135728665299,0.0,0.0,reference,1.023054535984495,0.0,2.9332846411046045,2.719720838349961,-0.21356380275464337,0.02628788261331056,0.05778786830212698,0.03149998568881642,-0.19567347963028803,-0.07023687473484111,0.12543660489544692,0.24967196236885775
0.35000000000000003,0.015343958520535939,0.050629677370211734,-0.2378888165141233,0.11182489831181819,5.045786011237396e-10,-0.00011380731048005188,0.07592633014388277,0.29374878543757504,-0.5331400670864457,0.33429502600048594,3.930988867750781e-08,-0.00047465875026020355,0.015343958520535939,0.050629677370211734,-0.2378888165141233,0.11182489831181819,5.045786011237396e-10,-0.00011380731048005188,0.07592633014388277,0.29374878543757504,-0.5331400670864457,0.33429502600048594,3.930988867750781e-08,-0.00047465875026020355,0.03181759000320112,0.5304744923174234,-1.2321154488025123,0.6945598626685445,0.0,0.0,0.2362618702195682,2.5163888017618508,-4.069431780846199,1.1029930763225742,0.5754746485161255,0.23978110354838572,0.01647363148266518,0.47984481494721165,-0.994226632288389,0.5827349643567263,-5.045786011237396e-10,0.00011380731048005188,0.0,0.0,0.0,0.0,0.0,0.0,0.028553353289219676,0.49554399351764566,-1.1635402685123357,0.6551232902180408,0.0,0.0,reference,1.248434649852927,0.0,2.931115525408912,2.6222376070078157,-0.30887791840109635,0.044978444960506354,0.08346144728846684,0.03848300232796049,-0.18502077067023057,-0.018578023882618866,0.1664427467876117,0.35297265885925666
0.4,0.023947522269474053,0.06536712943137735,-0.26452577640512454,0.1285540579883353,1.048052755692197e-09,-0.00010579500946406029,0.10235180662387923,0.294834091987983,-0.5324225586095461,0.33432902908598877,6.800915386406807e-08,-0.0006761972357161021,0.023947522269474053,0.06536712943137735,-0.26452577640512454,0.1285540579883353,1.048052755692197e-09,-0.00010579500946406029,0.10235180662387923,0.294834091987983,-0.5324225586095461,0.33432902908598877,6.800915386406807e-08,-0.0006761972357161021,0.044888908839061964,0.635487063522665,-1.4318689255407564,0.8122907515269058,0.0,0.0,0.28660215947257117,2.464439194451313,-3.907877199467796,1.1271525834054659,0.5880796087332864,0.24503317030553604,0.02094138656958791,0.5701199340912877,-1.1673431491356319,0.6837366935385705,-1.048052755692197e-09,0.00010579500946406029,0.0,0.0,0.0,0.0,0.0,0.0,0.04080501995160139,0.6005012960214102,-1.3647867612836513,0.7729988861996896,0.0,0.0,reference,1.4682170091772013,0.0,2.9283440994718335,2.5115427466774385,-0.416801352794395,0.07013999409808264,0.11281619899414273,0.042676204896060096,-0.174109370707827,0.039999520273685835,0.21410889098151284,0.47051805847693196
0.45,0.03492717412798374,0.08016325443213912,-0.29112602388032816,0.14528927585073692,1.8163524018177668e-09,-9.87017071203411e-05,0.1306188032504706,0.2959264474872822,-0.5316805518133623,0.33434897690183235,1.0714797937794165e-07,-0.0008818630614193516,0.03492717412798374,0.08016325443213912,-0.29112602388032816,0.14528927585073692,1.8163524018177668e-09,-9.87017071203411e-05,0.1306188032504706,0.2959264474872822,-0.5316805518133623,0.33434897690183235,1.0714797937794165e-07,-0.0008818630614193516,0.060457002821303216,0.7375084009996797,-1.6216860386007257,0.9272290862576441,0.0,0.0,0.335655755117744,2.362207967659365,-3.6732667960509557,1.13262579187086,0.5909351957587095,0.24622299823279561,0.025529828693319476,0.6573451465675406,-1.3305600147203975,0.7819398104069072,-1.8163524018177668e-09,9.87017071203411e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.05554400710387776,0.7032566247551124,-1.557461219271457,0.8886715362431554,0.0,0.0,reference,1.6776692890683114,0.0,2.9247868560288883,2.3918435247027565,-0.5329433313261318,0.10219609978377775,0.14478012654576156,0.042584026761983806,-0.1629385726679005,0.10322458114592362,0.2661631538138241,0.5972309588328303
