time,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,q_obs1,q_obs2,q_obs3,q_obs4,q_obs5,q_obs6,qdot_obs1,qdot_obs2,qdot_obs3,qdot_obs4,qdot_obs5,qdot_obs6,q_ref1,q_ref2,q_ref3,q_ref4,q_ref5,q_ref6,qdot_ref1,qdot_ref2,qdot_ref3,qdot_ref4,qdot_ref5,qdot_ref6,error1,error2,error3,error4,error5,error6,correction1,correction2,correction3,correction4,correction5,correction6,target1,target2,target3,target4,target5,target6,controller,error_norm,correction_norm,smoothness,fuzzy_severity,fuzzy_exploration_scale,fuzzy_expert_blend,fuzzy_kp_multiplier,fuzzy_kd_multiplier,reward_error_weight,reward_velocity_weight,reward_effort_weight,reward_smoothness_weight
0.0,-4.848255130696089e-10,-0.02057758869843518,-0.062428519227567314,-0.005167710451034591,8.089169334368762e-10,-0.001289621694315457,-9.013234603116863e-10,-0.028493797858430956,-0.08548811036686026,-0.006916753032903949,1.5219825399981332e-09,-0.0015332923414490538,-4.848255130696089e-10,-0.02057758869843518,-0.062428519227567314,-0.005167710451034591,8.089169334368762e-10,-0.001289621694315457,-9.013234603116863e-10,-0.028493797858430956,-0.08548811036686026,-0.006916753032903949,1.5219825399981332e-09,-0.0015332923414490538,-4.848255130696089e-10,-0.02057758869843518,-0.062428519227567314,-0.005167710451034591,8.089169334368762e-10,-0.001289621694315457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.867146685683107e-12,0.00015386650843552722,0.0004616357959810455,3.735046637768134e-05,-8.218705715989921e-12,8.279778643824893e-06,-4.799583663839257e-10,-0.02042372218999965,-0.06196688343158627,-0.005130359984656909,8.006982277208863e-10,-0.0012813419156716321,fuzzy-pid,0.0,0.0004881046226191828,0.0004881046226191828,0.0,0.03,0.2,0.8,0.9,1.0,0.3,0.02,0.03
0.05,-5.022982030311596e-10,-0.022540424246756174,-0.06841090723828014,-0.005651705752160119,8.522489380879961e-10,-0.0013965595602183356,-7.515765787502454e-10,-0.026893703746555506,-0.0808939865306612,-0.00651947673890873,1.3259615627703157e-09,-0.001414492927853671,-5.022982030311596e-10,-0.022540424246756174,-0.06841090723828014,-0.005651705752160119,8.522489380879961e-10,-0.0013965595602183356,-7.515765787502454e-10,-0.026893703746555506,-0.0808939865306612,-0.00651947673890873,1.3259615627703157e-09,-0.001414492927853671,6.40234936725628e-06,-0.020573366450359763,-0.06242795187699101,-0.005171104958716416,-5.384425457250366e-06,-0.0012945013763498415,0.0005022482539558917,0.00032993634526595056,4.3731683733506545e-05,-0.00026803856044428116,-0.0004231655614772359,-0.00038224470502049165,6.402851665459311e-06,0.001967057796396412,0.005982955361289129,0.00048060079344370253,-5.385277706188454e-06,0.00010205818386849414,4.504946503206628e-06,0.0008054903953917002,0.002435436236705419,0.00019447131479232165,-3.7929847029962816e-06,3.994627693715495e-05,8.180351913255585e-06,-0.019931837588725958,-0.06048610758811076,-0.005015065229107298,-6.882857445628056e-06,-0.001261251803477423,fuzzy-pid,0.006317161880371668,0.0025728610375844786,0.002084760484838979,0.0,0.03,0.2,0.8,0.9,1.0,0.3,0.02,0.03
0.1,5.327882163452813e-06,-0.02293796966698558,-0.069627008259594,-0.005751087922137632,-4.482688098494947e-06,-0.0014195821258820018,6.338934293026449e-05,-0.002229832420486131,-0.007644561151920463,-0.0006080090345861317,-5.33391531831739e-05,-0.00011527337706596075,5.327882163452813e-06,-0.02293796966698558,-0.069627008259594,-0.005751087922137632,-4.482688098494947e-06,-0.0014195821258820018,6.338934293026449e-05,-0.002229832420486131,-0.007644561151920463,-0.0006080090345861317,-5.33391531831739e-05,-0.00011527337706596075,9.461961517062899e-05,-0.020516132402974688,-0.06242070549036658,-0.005219177632719649,-8.011398239952681e-05,-0.0013613427844538994,0.0036314652192008033,0.002339749340953389,0.0002884778185142172,-0.002001299454725083,-0.003085137425702594,-0.0027447702625916417,8.929173300717618e-05,0.0024218372640108926,0.007206302769227423,0.0005319102894179835,-7.563129430103186e-05,5.823934142810245e-05,4.6167798599684856e-05,0.0008810901241153167,0.00259274930070515,0.0001833432776079445,-3.914804793757825e-05,1.006672223581362e-05,0.00010763564830604927,-0.01970924110632602,-0.059992494039273765,-0.005030642073610603,-9.11672371142358e-05,-0.00132876999753292,fuzzy-pid,0.00762208034714056,0.0027451864917972424,0.00018564782204467007,0.0,0.03,0.2,0.8,0.9,1.0,0.3,0.02,0.03
0.15000000000000002,7.196315347890447e-05,-0.022844649589607524,-0.06949181827311302,-0.005774794681124185,-6.0942240844408246e-05,-0.001464380207166105,0.0007927225770920636,0.0016855757901446096,0.0031785945075135627,-0.00013450714284601862,-0.000671667363061345,-0.000483698139230881,7.196315347890447e-05,-0.022844649589607524,-0.06949181827311302,-0.005774794681124185,-6.0942240844408246e-05,-0.001464380207166105,0.0007927225770920636,0.0016855757901446096,0.0031785945075135627,-0.00013450714284601862,-0.000671667363061345,-0.000483698139230881,0.00044100877240339125,-0.020295584899909656,-0.06239475958206102,-0.005413641710498795,-0.00037575571125842376,-0.0016220643590129365,0.011016395414587665,0.0069552023342243745,0.0007901288185858468,-0.006264124655216396,-0.009432182278456935,-0.008267446598461875,0.0003690456189244868,0.0025490646896978685,0.007097058691051997,0.00036115297062538996,-0.0003148134704140155,-0.0001576841518468315,0.0001733568859717054,0.0008842770795880207,0.0023767678864993792,9.210877480794554e-05,-0.00014803445213236308,-9.055200955179873e-05,0.00048768315585783476,-0.019485791141822733,-0.06001161728148967,-0.0052488102201707874,-0.00041563443182164914,-0.0016166547758067816,fuzzy-pid,0.007566807173863877,0.0025494356319667832,0.0003051873270963553,0.0,0.03,0.2,0.8,0.9,1.0,0.3,0.02,0.03
0.2,0.00034273056286648895,-0.022653033566510494,-0.06942055204708719,-0.005920321559790498,-0.0002919609211815555,-0.0016639305503085566,0.0032211691278760638,0.0023507573495784562,0.0010046271198937964,-0.0017030632511350048,-0.0027482999932715276,-0.0023847926167164224,0.00034273056286648895,-0.022653033566510494,-0.06942055204708719,-0.005920321559790498,-0.0002919609211815555,-0.0016639305503085566,0.0032211691278760638,0.0023507573495784562,0.0010046271198937964,-0.0017030632511350048,-0.0027482999932715276,-0.0023847926167164224,0.0012788486304946079,-0.019772847797639555,-0.06233833572403358,-0.005898343363520801,-0.001096080199915718,-0.002248258590956201,0.02332980529608713,0.01441870691450452,0.001490879781943141,-0.013677618352032257,-0.02012092356147311,-0.01737987518241197,0.0009361180676281189,0.0028801857688709395,0.007082216323053614,2.1978196269697298e-05,-0.0008041192787341625,-0.0005843280406476444,0.0004197165731152074,0.000990996219465296,0.0022583603519334525,-6.481854246634448e-05,-0.0003608862416053612,-0.00027706561016037655,0.00139584469167182,-0.018957836469086376,-0.06006288584944751,-0.005784573984533056,-0.001196633439096222,-0.002298156844789129,fuzzy-pid,0.007766473154585926,0.0025435472598495427,0.0004368315520979569,0.0,0.03,0.2,0.8,0.9,1.0,0.3,0.02,0.03
0.25,0.0010286465157607338,-0.022244225452048738,-0.06943618607489865,-0.006318706005122632,-0.0008811936280919141,-0.0021747001877083783,0.008159960342268839,0.005129288104388503,0.0004606325763489845,-0.004677773851469165,-0.007009772472521541,-0.006131559749533716,0.0010286465157607338,-0.022244225452048738,-0.06943618607489865,-0.006318706005122632,-0.0008811936280919141,-0.0021747001877083783,0.008159960342268839,0.005129288104388503,0.0004606325763489845,-0.004677773851469165,-0.007009772472521541,-0.006131559749533716,0.002854268076424072,-0.01881090707952922,-0.06224446768521386,-0.006837263927541687,-0.002459913436356928,-0.0034170477785289395,0.04043814066252336,0.024437550048206153,0.0022628006276404367,-0.0244290926253162,-0.03511403005402282,-0.029895980969256136,0.0018256215606633382,0.0034333183725195164,0.007191718389684791,-0.0005185579224190554,-0.0015787198082650136,-0.0012423475908205613,0.0007957986706406431,0.0011947747017290828,0.002216150703623624,-0.0003015340458514113,-0.0006888175277461677,-0.0005556028311615834,0.0030865112332164914,-0.0179515584006217,-0.06003695919855456,-0.006800241976178088,-0.0026607065828513775,-0.0035540271684651745,fuzzy-pid,0.008434812897432808,0.0028011056614468057,0.0006526110708371315,0.0,0.03,0.2,0.8,0.9,1.0,0.3,0.02,0.03
0.30000000000000004,0.0023689782040134943,-0.021445160556443632,-0.06942552034271277,-0.007117312431472733,-0.0020402287727079305,-0.0031681116348503124,0.015945180028520398,0.010095176806323982,0.0016091852906185962,-0.009375007296874563,-0.013788393803615394,-0.011913468837576591,0.0023689782040134943,-0.021445160556443632,-0.06942552034271277,-0.007117312431472733,-0.0020402287727079305,-0.0031681116348503124,0.015945180028520398,0.010095176806323982,0.0016091852906185962,-0.009375007296874563,-0.013788393803615394,-0.011913468837576591,0.005389733111413364,-0.017297798970975803,-0.06211354625709102,-0.00839342254572081,-0.0046691032304806675,-0.005283635451068347,0.06155405371519285,0.03632538726253697,0.002945260012389409,-0.038298555080057,-0.05378877430825626,-0.04514709474131659,0.0030207549073998693,0.004147361585467829,0.007311974085621745,-0.0012761101142480767,-0.002628874457772737,-0.0021155238162180344,0.0012913365355384306,0.001466316270591075,0.002196296235629968,-0.0006229344693204997,-0.0011248300899038017,-0.0009172301024335241,0.005782430043517968,-0.016361501625443968,-0.05994717731573443,-0.008462328255325504,-0.005010626636001196,-0.005539155957242697,fuzzy-pid,0.009633556576643977,0.0033370573493857886,0.0008624768222739465,0.0,0.03,0.2,0.8,0.9,1.0,0.3,0.02,0.03
0.35000000000000003,0.004592233029558468,-0.020126153633658994,-0.06935624973275667,-0.008475905361068126,-0.003974912931429042,-0.004805009269799765,0.026448824979308203,0.016610194104504913,0.0031536952064925546,-0.015971138624770717,-0.023015856499153366,-0.019620008699394714,0.004592233029558468,-0.020126153633658994,-0.06935624973275667,-0.008475905361068126,-0.003974912931429042,-0.004805009269799765,0.026448824979308203,0.016610194104504913,0.0031536952064925546,-0.015971138624770717,-0.023015856499153366,-0.019620008699394714,0.009055213460931326,-0.015162918667136947,-0.06195414869982541,-0.01070951807353325,-0.007882196634769918,-0.007960455247974837,0.08539091042146851,0.04913571616745701,0.003376101128622913,-0.054701693208050545,-0.07505659635254723,-0.06211261923470348,0.004462980431372858,0.004963234966522047,0.007402101032931256,-0.0022336127124651245,-0.003907283703340876,-0.003155445978175072,0.0018797893951985928,0.0017788821284281725,0.0021780497253593716,-0.0010204931003716727,-0.001647181101352977,-0.0013404033745044197,0.00964685965297693,-0.014128402810392572,-0.05981886855978314,-0.010913090444260068,-0.00839968996109247,-0.008360432956170116,fuzzy-pid,0.011382254889709086,0.004122283755180337,0.001026784388830082,0.0,0.03,0.2,0.8,0.9,1.0,0.3,0.02,0.03
0.4,0.007884420395268155,-0.018204780196081405,-0.06923745150879679,-0.010543040228257805,-0.006856865596402528,-0.007210999652267347,0.03916532017358417,0.024101284312294503,0.004571332663427792,-0.024333358934036632,-0.03428497959356844,-0.02882769249437087,0.007884420395268155,-0.018204780196081405,-0.06923745150879679,-0.010543040228257805,-0.006856865596402528,-0.007210999652267347,0.03916532017358417,0.024101284312294503,0.004571332663427792,-0.024333358934036632,-0.03428497959356844,-0.02882769249437087,0.013947105482363033,-0.012386881390820196,-0.061782467381740674,-0.013891119566993172,-0.012194330330800664,-0.011502774134993775,0.11031838634337615,0.06178611282151579,0.003416485766161958,-0.07274872011763688,-0.09749172881846309,-0.0795473899453347,0.006062685087094878,0.005817898805261209,0.0074549841270561135,-0.0033480793387353665,-0.005337464734398136,-0.004291774482726428,0.0025228867937933776,0.002104933175884333,0.0021549823876275097,-0.0014754622438543504,-0.0022230057365381813,-0.0017953981718293842,0.01476420912036154,-0.011243561863800041,-0.059675330885530654,-0.014253208969200659,-0.012912924540777252,-0.012063737469159898,fuzzy-pid,0.013575653890998884,0.005077582936137033,0.0011251696979998151,0.0,0.03,0.2,0.8,0.9,1.0,0.3,0.02,0.03
0.45,0.012365375209285379,-0.015647295596458832,-0.06908921669786405,-0.013436392145365517,-0.010801307314763253,-0.010460220395427822,0.05330742447142706,0.031966462748478336,0.005689924265794838,-0.03409662950266676,-0.04692481753183482,-0.038922963662191244,0.012365375209285379,-0.015647295596458832,-0.06908921669786405,-0.013436392145365517,-0.010801307314763253,-0.010460220395427822,0.05330742447142706,0.031966462748478336,0.005689924265794838,-0.03409662950266676,-0.04692481753183482,-0.038922963662191244,0.02007494349296709,-0.009005426540332562,-0.061620655905947966,-0.017993180720122993,-0.017623737082527156,-0.015900562887215468,0.1345182591205955,0.07317208773020073,0.002969341440329698,-0.0913183593221812,-0.11946687519099142,-0.09610486212135437,0.00770956828368171,0.00664186905612627,0.007468560791916087,-0.004556788574757477,-0.0068224297677639024,-0.005440342491787646,0.0031749521051211566,0.0024153787679044927,0.0021238166569152515,-0.001961498162263385,-0.0028119683739680308,-0.0022476690710462105,0.02112847397865657,-0.007753426295271063,-0.0595414621581572,-0.01852931140408995,-0.018555010227565703,-0.016627108335986233,fuzzy-pid,0.01600745027982553,0.006101772700137603,0.0011446369761470248,0.0,0.03,0.2,0.8,0.9,1.0,0.3,0.02,0.03
