target_id,target_x,target_y,method,done,steps,final_distance,final_speed,mean_torque_norm,total_reward,residual_disabled,residual_switch_step,start_step,end_step
D1_train,1.1,0.55,fuzzy_base,True,360,0.005226555932305786,0.07783967059054084,13.853262882058523,-82.82703012094642,False,,0,360
D2_diag,0.85,0.85,fuzzy_base,True,221,0.006878037553388471,0.07684437945285665,13.632396320811479,-18.522869830981964,False,,360,581
D3_low,1.25,0.25,fuzzy_base,True,259,0.005631698655752478,0.07420787840324462,15.69219450190012,-35.04189395693966,False,,581,840
D4_high,0.65,1.05,fuzzy_base,True,267,0.009325497296832337,0.07904610969487173,16.391588171778565,-47.25248387943339,False,,840,1107
D5_far,1.35,0.45,fuzzy_base,True,259,0.005959415109513463,0.0763871160953107,17.62045933712979,-42.43924314317002,False,,1107,1366
D1_train,1.1,0.55,fuzzy_rl_safe_deployed,True,270,0.004880546180872933,0.07994530172304143,14.5707806767428,-85.34030408704969,False,,0,270
D2_diag,0.85,0.85,fuzzy_rl_safe_deployed,True,221,0.006665943553751635,0.07551917171369175,13.696226486441274,-21.70369697648923,True,118,270,491
D3_low,1.25,0.25,fuzzy_rl_safe_deployed,True,264,0.00982693787796049,0.07962693056748256,15.79494795054275,-40.19676197088289,True,189,491,755
D4_high,0.65,1.05,fuzzy_rl_safe_deployed,True,266,0.00801792683626229,0.0755800417977222,16.18888605290484,-48.2361623524177,True,127,755,1021
D5_far,1.35,0.45,fuzzy_rl_safe_deployed,True,288,0.009247317932182067,0.06956287101144652,16.930251606372945,-46.28359847249557,True,222,1021,1309
